operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randread;32;0;1;0;35.7;4.71
randread;32;0;1;1;34.6;4.59
randread;32;0;1;2;34.4;4.58
randread;32;0;1;3;34.8;4.61
randread;32;0;1;4;35.2;4.6
randread;32;0;1;5;35.3;4.64
randread;32;0;1;6;34.6;4.57
randread;32;0;1;7;37.9;4.73
randread;32;0;1;8;39.9;4.67
randread;32;0;1;9;41.5;4.77
randread;32;0;1;10;44.0;5.36
randread;32;0;1;11;44.0;5.44
randread;32;0;1;12;44.0;5.34
randread;32;0;1;13;44.1;5.35
randread;32;0;1;14;44.0;5.51
randread;32;0;1;15;44.1;5.34
randread;32;0;1;16;44.7;5.53
randread;32;0;1;17;44.1;5.37
randread;32;0;1;18;44.0;5.58
randread;32;0;1;19;44.1;5.32
randread;32;0;1;20;44.0;5.62
randread;32;0;1;21;43.9;5.36
randread;32;0;1;22;43.8;5.37
randread;32;0;1;23;44.1;5.36
randread;32;0;1;24;43.9;5.34
randread;32;0;1;25;44.0;5.32
randread;32;0;1;26;43.9;5.35
randread;32;0;1;27;44.0;5.33
randread;32;0;1;28;44.1;5.36
randread;32;0;1;29;43.9;5.34
randread;32;0;1;30;44.0;5.34
randread;32;0;1;31;44.4;5.34
randread;32;0;1;32;44.5;5.35
randread;32;0;1;33;44.4;5.35
randread;32;0;1;34;44.2;5.34
randread;32;0;1;35;44.0;5.35
randread;32;0;1;36;44.0;5.35
randread;32;0;1;37;43.9;5.33
randread;32;0;1;38;44.7;5.32
randread;32;0;1;39;44.4;5.34
randread;32;0;1;40;44.0;5.34
randread;32;0;1;41;44.6;5.38
randread;32;0;1;42;39.3;5.34
randread;32;0;1;43;35.7;4.57
randread;32;0;1;44;34.8;4.55
randread;32;0;1;45;35.5;4.57
randread;32;0;1;46;34.7;4.56
randread;32;0;1;47;35.2;4.54
randread;32;0;1;48;35.3;4.57
randread;32;0;1;49;34.8;4.54
randread;32;0;1;50;34.8;4.54
randread;32;0;1;51;34.9;4.55
randread;32;0;1;52;34.7;4.53
randread;32;0;1;53;35.6;4.56
randread;32;0;1;54;35.2;4.57
randread;32;0;1;55;34.8;4.55
randread;32;0;1;56;35.6;4.59
randread;32;0;1;57;35.2;4.55
randread;32;0;1;58;35.2;4.55
randread;32;0;1;59;35.3;4.57
randread;32;0;2;0;35.4;4.61
randread;32;0;2;1;35.1;4.64
randread;32;0;2;2;35.0;4.55
randread;32;0;2;3;34.6;4.55
randread;32;0;2;4;34.9;4.58
randread;32;0;2;5;34.8;4.58
randread;32;0;2;6;34.8;4.6
randread;32;0;2;7;35.0;4.55
randread;32;0;2;8;34.6;4.47
randread;32;0;2;9;34.6;4.55
randread;32;0;2;10;34.5;4.55
randread;32;0;2;11;34.5;4.57
randread;32;0;2;12;34.5;4.53
randread;32;0;2;13;34.6;4.6
randread;32;0;2;14;34.5;4.55
randread;32;0;2;15;34.5;4.6
randread;32;0;2;16;34.5;4.53
randread;32;0;2;17;34.5;4.58
randread;32;0;2;18;34.8;4.58
randread;32;0;2;19;34.5;4.58
randread;32;0;2;20;35.1;4.55
randread;32;0;2;21;35.7;4.55
randread;32;0;2;22;35.0;4.56
randread;32;0;2;23;34.7;4.6
randread;32;0;2;24;35.0;4.59
randread;32;0;2;25;36.2;4.63
randread;32;0;2;26;34.7;4.62
randread;32;0;2;27;34.6;4.58
randread;32;0;2;28;34.5;4.57
randread;32;0;2;29;34.5;4.59
randread;32;0;2;30;35.0;4.54
randread;32;0;2;31;34.5;4.59
randread;32;0;2;32;35.8;4.63
randread;32;0;2;33;35.2;4.54
randread;32;0;2;34;35.7;4.59
randread;32;0;2;35;35.1;4.55
randread;32;0;2;36;35.1;4.53
randread;32;0;2;37;34.5;4.54
randread;32;0;2;38;34.7;4.48
randread;32;0;2;39;34.8;4.46
randread;32;0;2;40;34.8;4.59
randread;32;0;2;41;34.5;4.55
randread;32;0;2;42;34.6;4.52
randread;32;0;2;43;35.1;4.55
randread;32;0;2;44;34.9;4.6
randread;32;0;2;45;35.1;4.56
randread;32;0;2;46;35.0;4.54
randread;32;0;2;47;34.5;4.52
randread;32;0;2;48;34.6;4.52
randread;32;0;2;49;34.6;4.6
randread;32;0;2;50;34.5;4.57
randread;32;0;2;51;34.6;4.59
randread;32;0;2;52;34.9;4.54
randread;32;0;2;53;34.8;4.61
randread;32;0;2;54;35.4;4.53
randread;32;0;2;55;35.0;4.56
randread;32;0;2;56;35.8;4.6
randread;32;0;2;57;35.6;4.56
randread;32;0;2;58;35.1;4.59
randread;32;0;2;59;34.6;4.52
randread;32;0;3;0;35.5;4.43
randread;32;0;3;1;33.7;4.1
randread;32;0;3;2;33.5;4.14
randread;32;0;3;3;33.6;4.06
randread;32;0;3;4;33.5;4.02
randread;32;0;3;5;33.6;4.05
randread;32;0;3;6;33.6;4.0
randread;32;0;3;7;33.6;4.11
randread;32;0;3;8;33.6;4.1
randread;32;0;3;9;34.3;4.2
randread;32;0;3;10;34.4;4.12
randread;32;0;3;11;35.9;4.3
randread;32;0;3;12;34.1;4.11
randread;32;0;3;13;33.6;4.06
randread;32;0;3;14;33.6;4.03
randread;32;0;3;15;33.6;3.99
randread;32;0;3;16;33.6;4.05
randread;32;0;3;17;33.6;4.07
randread;32;0;3;18;33.6;4.08
randread;32;0;3;19;33.6;4.05
randread;32;0;3;20;33.6;4.07
randread;32;0;3;21;33.6;3.96
randread;32;0;3;22;33.6;3.94
randread;32;0;3;23;33.7;4.0
randread;32;0;3;24;33.6;3.99
randread;32;0;3;25;33.7;4.12
randread;32;0;3;26;33.6;4.12
randread;32;0;3;27;33.6;4.15
randread;32;0;3;28;33.6;4.18
randread;32;0;3;29;33.6;4.08
randread;32;0;3;30;33.6;4.16
randread;32;0;3;31;33.6;4.12
randread;32;0;3;32;33.6;4.06
randread;32;0;3;33;33.6;4.12
randread;32;0;3;34;33.6;4.13
randread;32;0;3;35;33.7;4.24
randread;32;0;3;36;33.6;4.17
randread;32;0;3;37;33.6;4.04
randread;32;0;3;38;33.6;4.15
randread;32;0;3;39;33.6;4.2
randread;32;0;3;40;34.0;4.14
randread;32;0;3;41;33.8;4.16
randread;32;0;3;42;33.7;4.17
randread;32;0;3;43;33.9;4.29
randread;32;0;3;44;33.6;4.11
randread;32;0;3;45;33.7;4.19
randread;32;0;3;46;33.6;4.25
randread;32;0;3;47;33.7;4.16
randread;32;0;3;48;34.0;4.22
randread;32;0;3;49;33.6;4.18
randread;32;0;3;50;33.7;4.11
randread;32;0;3;51;33.7;4.15
randread;32;0;3;52;33.5;4.14
randread;32;0;3;53;33.6;3.98
randread;32;0;3;54;33.6;3.95
randread;32;0;3;55;33.7;3.93
randread;32;0;3;56;33.6;3.87
randread;32;0;3;57;33.6;3.87
randread;32;0;3;58;33.6;3.91
randread;32;0;3;59;33.6;3.99
randread;32;0;4;0;35.8;4.68
randread;32;0;4;1;35.9;4.63
randread;32;0;4;2;35.2;4.53
randread;32;0;4;3;35.5;4.58
randread;32;0;4;4;34.6;4.58
randread;32;0;4;5;34.6;4.57
randread;32;0;4;6;34.8;4.57
randread;32;0;4;7;35.2;4.6
randread;32;0;4;8;35.3;4.57
randread;32;0;4;9;35.2;4.59
randread;32;0;4;10;34.9;4.57
randread;32;0;4;11;35.0;4.61
randread;32;0;4;12;34.8;4.58
randread;32;0;4;13;35.7;4.57
randread;32;0;4;14;35.4;4.58
randread;32;0;4;15;34.5;4.57
randread;32;0;4;16;34.5;4.55
randread;32;0;4;17;34.5;4.55
randread;32;0;4;18;34.5;4.55
randread;32;0;4;19;34.6;4.55
randread;32;0;4;20;34.5;4.57
randread;32;0;4;21;35.1;4.57
randread;32;0;4;22;34.5;4.52
randread;32;0;4;23;34.6;4.54
randread;32;0;4;24;35.4;4.56
randread;32;0;4;25;34.9;4.6
randread;32;0;4;26;34.9;4.58
randread;32;0;4;27;35.7;4.58
randread;32;0;4;28;35.4;4.58
randread;32;0;4;29;34.6;4.56
randread;32;0;4;30;34.7;4.54
randread;32;0;4;31;35.1;4.57
randread;32;0;4;32;34.8;4.55
randread;32;0;4;33;34.6;4.56
randread;32;0;4;34;35.7;4.55
randread;32;0;4;35;35.1;4.57
randread;32;0;4;36;35.4;4.59
randread;32;0;4;37;36.2;4.58
randread;32;0;4;38;36.3;4.64
randread;32;0;4;39;35.1;4.58
randread;32;0;4;40;34.6;4.6
randread;32;0;4;41;34.6;4.6
randread;32;0;4;42;34.6;4.6
randread;32;0;4;43;34.5;4.58
randread;32;0;4;44;34.6;4.58
randread;32;0;4;45;34.6;4.57
randread;32;0;4;46;35.1;4.55
randread;32;0;4;47;35.2;4.57
randread;32;0;4;48;36.1;4.58
randread;32;0;4;49;35.5;4.6
randread;32;0;4;50;34.9;4.56
randread;32;0;4;51;35.1;4.56
randread;32;0;4;52;35.3;4.56
randread;32;0;4;53;37.5;4.6
randread;32;0;4;54;36.6;4.63
randread;32;0;4;55;35.2;4.64
randread;32;0;4;56;35.0;4.59
randread;32;0;4;57;34.5;4.55
randread;32;0;4;58;35.3;4.59
randread;32;0;4;59;35.0;4.55
randwrite;32;1;1;0;36.8;4.65
randwrite;32;1;1;1;38.0;4.84
randwrite;32;1;1;2;40.4;5.85
randwrite;32;1;1;3;40.8;6.54
randwrite;32;1;1;4;40.9;6.51
randwrite;32;1;1;5;40.9;6.53
randwrite;32;1;1;6;40.9;6.51
randwrite;32;1;1;7;41.7;6.6
randwrite;32;1;1;8;39.4;5.84
randwrite;32;1;1;9;42.2;5.96
randwrite;32;1;1;10;44.4;6.53
randwrite;32;1;1;11;42.6;6.31
randwrite;32;1;1;12;38.5;5.81
randwrite;32;1;1;13;37.2;5.49
randwrite;32;1;1;14;37.8;5.17
randwrite;32;1;1;15;37.4;5.1
randwrite;32;1;1;16;37.4;5.13
randwrite;32;1;1;17;37.4;5.08
randwrite;32;1;1;18;35.4;4.8
randwrite;32;1;1;19;36.6;5.0
randwrite;32;1;1;20;36.0;4.84
randwrite;32;1;1;21;36.4;4.93
randwrite;32;1;1;22;36.2;4.92
randwrite;32;1;1;23;36.2;4.91
randwrite;32;1;1;24;35.8;4.91
randwrite;32;1;1;25;36.2;4.92
randwrite;32;1;1;26;36.1;4.88
randwrite;32;1;1;27;36.7;4.95
randwrite;32;1;1;28;36.0;4.88
randwrite;32;1;1;29;36.0;4.91
randwrite;32;1;1;30;35.6;4.88
randwrite;32;1;1;31;35.9;4.88
randwrite;32;1;1;32;35.8;4.88
randwrite;32;1;1;33;36.4;4.95
randwrite;32;1;1;34;35.7;4.92
randwrite;32;1;1;35;35.4;4.88
randwrite;32;1;2;0;36.8;4.65
randwrite;32;1;2;1;38.3;4.8
randwrite;32;1;2;2;40.3;5.55
randwrite;32;1;2;3;40.9;6.53
randwrite;32;1;2;4;40.8;6.36
randwrite;32;1;2;5;40.8;6.4
randwrite;32;1;2;6;40.8;6.29
randwrite;32;1;2;7;41.0;6.44
randwrite;32;1;2;8;37.8;5.78
randwrite;32;1;2;9;41.4;6.49
randwrite;32;1;2;10;41.8;6.58
randwrite;32;1;2;11;40.5;6.29
randwrite;32;1;2;12;37.7;5.75
randwrite;32;1;2;13;37.6;5.61
randwrite;32;1;2;14;36.9;5.07
randwrite;32;1;2;15;36.5;5.0
randwrite;32;1;2;16;36.2;5.04
randwrite;32;1;2;17;36.8;5.05
randwrite;32;1;2;18;35.4;4.9
randwrite;32;1;2;19;34.8;4.82
randwrite;32;1;2;20;35.3;4.86
randwrite;32;1;2;21;35.9;4.9
randwrite;32;1;2;22;35.6;4.93
randwrite;32;1;2;23;34.6;4.87
randwrite;32;1;2;24;34.5;4.81
randwrite;32;1;2;25;34.6;4.81
randwrite;32;1;2;26;34.5;4.83
randwrite;32;1;2;27;34.3;4.78
randwrite;32;1;2;28;34.3;4.77
randwrite;32;1;2;29;34.7;4.82
randwrite;32;1;2;30;34.7;4.8
randwrite;32;1;2;31;34.4;4.76
randwrite;32;1;2;32;34.4;4.77
randwrite;32;1;2;33;34.2;4.74
randwrite;32;1;2;34;34.4;4.82
randwrite;32;1;2;35;34.3;4.76
randwrite;32;1;3;0;36.8;4.71
randwrite;32;1;3;1;38.1;4.76
randwrite;32;1;3;2;40.3;5.44
randwrite;32;1;3;3;40.8;6.2
randwrite;32;1;3;4;40.8;6.21
randwrite;32;1;3;5;40.7;6.29
randwrite;32;1;3;6;40.8;6.28
randwrite;32;1;3;7;41.5;6.46
randwrite;32;1;3;8;40.3;6.26
randwrite;32;1;3;9;41.9;6.59
randwrite;32;1;3;10;42.0;6.67
randwrite;32;1;3;11;40.2;6.33
randwrite;32;1;3;12;37.8;5.88
randwrite;32;1;3;13;37.5;5.7
randwrite;32;1;3;14;37.0;5.29
randwrite;32;1;3;15;36.7;5.16
randwrite;32;1;3;16;36.7;5.13
randwrite;32;1;3;17;37.4;5.12
randwrite;32;1;3;18;38.1;5.02
randwrite;32;1;3;19;35.9;4.87
randwrite;32;1;3;20;35.8;4.89
randwrite;32;1;3;21;35.1;4.81
randwrite;32;1;3;22;35.7;4.88
randwrite;32;1;3;23;35.4;4.85
randwrite;32;1;3;24;35.9;4.98
randwrite;32;1;3;25;35.5;4.92
randwrite;32;1;3;26;35.6;4.87
randwrite;32;1;3;27;35.9;4.87
randwrite;32;1;3;28;35.4;4.81
randwrite;32;1;3;29;34.7;4.85
randwrite;32;1;3;30;34.5;4.79
randwrite;32;1;3;31;34.7;4.81
randwrite;32;1;3;32;34.3;4.81
randwrite;32;1;3;33;34.3;4.8
randwrite;32;1;3;34;34.3;4.8
randwrite;32;1;3;35;34.3;4.77
randwrite;32;1;4;0;36.9;4.63
randwrite;32;1;4;1;37.9;4.75
randwrite;32;1;4;2;40.3;5.67
randwrite;32;1;4;3;40.9;6.51
randwrite;32;1;4;4;40.9;6.49
randwrite;32;1;4;5;40.9;6.51
randwrite;32;1;4;6;40.9;6.51
randwrite;32;1;4;7;41.2;6.56
randwrite;32;1;4;8;37.5;5.81
randwrite;32;1;4;9;41.4;6.5
randwrite;32;1;4;10;42.1;6.59
randwrite;32;1;4;11;40.9;6.44
randwrite;32;1;4;12;37.9;5.83
randwrite;32;1;4;13;37.6;5.77
randwrite;32;1;4;14;36.5;5.22
randwrite;32;1;4;15;36.5;5.1
randwrite;32;1;4;16;36.5;5.18
randwrite;32;1;4;17;36.6;5.25
randwrite;32;1;4;18;36.0;5.1
randwrite;32;1;4;19;35.7;4.96
randwrite;32;1;4;20;35.6;4.98
randwrite;32;1;4;21;35.6;4.91
randwrite;32;1;4;22;35.6;4.94
randwrite;32;1;4;23;35.4;4.93
randwrite;32;1;4;24;34.7;4.84
randwrite;32;1;4;25;34.5;4.83
randwrite;32;1;4;26;34.5;4.83
randwrite;32;1;4;27;34.8;4.82
randwrite;32;1;4;28;34.5;4.85
randwrite;32;1;4;29;34.4;4.75
randwrite;32;1;4;30;34.2;4.76
randwrite;32;1;4;31;34.7;4.81
randwrite;32;1;4;32;34.5;4.81
randwrite;32;1;4;33;33.9;4.73
randwrite;32;1;4;34;35.6;4.93
randwrite;32;1;4;35;36.5;4.88
randwrite;32;0;1;0;36.4;4.68
randwrite;32;0;1;1;37.0;4.57
randwrite;32;0;1;2;37.5;4.5
randwrite;32;0;1;3;40.2;4.62
randwrite;32;0;1;4;36.7;4.57
randwrite;32;0;1;5;37.2;4.56
randwrite;32;0;1;6;36.2;4.55
randwrite;32;0;1;7;36.1;4.55
randwrite;32;0;1;8;37.2;4.54
randwrite;32;0;1;9;38.8;4.57
randwrite;32;0;1;10;36.3;4.56
randwrite;32;0;1;11;37.0;4.54
randwrite;32;0;1;12;37.8;4.55
randwrite;32;0;1;13;38.1;4.55
randwrite;32;0;1;14;35.9;4.53
randwrite;32;0;1;15;38.2;4.55
randwrite;32;0;1;16;35.9;4.53
randwrite;32;0;1;17;35.9;4.56
randwrite;32;0;1;18;38.4;4.56
randwrite;32;0;1;19;38.4;4.54
randwrite;32;0;1;20;36.7;4.54
randwrite;32;0;1;21;38.3;4.56
randwrite;32;0;1;22;36.3;4.57
randwrite;32;0;1;23;38.0;4.56
randwrite;32;0;1;24;36.6;4.55
randwrite;32;0;1;25;36.8;4.53
randwrite;32;0;1;26;38.0;4.54
randwrite;32;0;1;27;39.0;4.56
randwrite;32;0;1;28;38.9;4.55
randwrite;32;0;1;29;36.3;4.55
randwrite;32;0;1;30;38.3;4.54
randwrite;32;0;1;31;40.0;4.54
randwrite;32;0;1;32;39.1;4.55
randwrite;32;0;1;33;35.8;4.56
randwrite;32;0;1;34;36.3;4.56
randwrite;32;0;1;35;36.5;4.57
randwrite;32;0;1;36;37.5;4.56
randwrite;32;0;1;37;37.9;4.55
randwrite;32;0;1;38;39.1;4.55
randwrite;32;0;1;39;36.6;4.55
randwrite;32;0;1;40;35.8;4.54
randwrite;32;0;1;41;36.1;4.55
randwrite;32;0;1;42;36.2;4.55
randwrite;32;0;1;43;37.6;4.55
randwrite;32;0;1;44;39.4;4.56
randwrite;32;0;1;45;36.5;4.54
randwrite;32;0;1;46;36.3;4.57
randwrite;32;0;1;47;37.3;4.55
randwrite;32;0;1;48;37.6;4.56
randwrite;32;0;1;49;36.8;4.54
randwrite;32;0;1;50;36.2;4.55
randwrite;32;0;1;51;35.9;4.55
randwrite;32;0;1;52;36.4;4.52
randwrite;32;0;1;53;38.1;4.55
randwrite;32;0;1;54;36.4;4.57
randwrite;32;0;1;55;36.1;4.54
randwrite;32;0;1;56;38.6;4.55
randwrite;32;0;1;57;40.5;4.56
randwrite;32;0;1;58;39.6;4.56
randwrite;32;0;1;59;36.6;4.53
randwrite;32;0;2;0;37.1;4.63
randwrite;32;0;2;1;38.9;4.58
randwrite;32;0;2;2;37.3;4.54
randwrite;32;0;2;3;36.4;4.56
randwrite;32;0;2;4;35.9;4.57
randwrite;32;0;2;5;36.5;4.55
randwrite;32;0;2;6;36.1;4.57
randwrite;32;0;2;7;36.8;4.56
randwrite;32;0;2;8;39.2;4.56
randwrite;32;0;2;9;37.5;4.57
randwrite;32;0;2;10;39.0;4.56
randwrite;32;0;2;11;36.8;4.58
randwrite;32;0;2;12;36.5;4.57
randwrite;32;0;2;13;36.6;4.54
randwrite;32;0;2;14;36.8;4.57
randwrite;32;0;2;15;36.9;4.55
randwrite;32;0;2;16;36.6;4.54
randwrite;32;0;2;17;36.3;4.56
randwrite;32;0;2;18;38.9;4.57
randwrite;32;0;2;19;36.2;4.56
randwrite;32;0;2;20;36.1;4.56
randwrite;32;0;2;21;36.2;4.55
randwrite;32;0;2;22;36.1;4.55
randwrite;32;0;2;23;36.3;4.55
randwrite;32;0;2;24;36.1;4.56
randwrite;32;0;2;25;37.4;4.56
randwrite;32;0;2;26;39.4;4.55
randwrite;32;0;2;27;38.1;4.56
randwrite;32;0;2;28;38.9;4.55
randwrite;32;0;2;29;36.8;4.57
randwrite;32;0;2;30;35.7;4.55
randwrite;32;0;2;31;35.9;4.56
randwrite;32;0;2;32;36.2;4.56
randwrite;32;0;2;33;35.6;4.57
randwrite;32;0;2;34;37.2;4.54
randwrite;32;0;2;35;38.4;4.57
randwrite;32;0;2;36;39.1;4.55
randwrite;32;0;2;37;40.5;4.56
randwrite;32;0;2;38;38.0;4.56
randwrite;32;0;2;39;36.3;4.58
randwrite;32;0;2;40;36.4;4.55
randwrite;32;0;2;41;36.3;4.56
randwrite;32;0;2;42;35.9;4.54
randwrite;32;0;2;43;36.3;4.56
randwrite;32;0;2;44;37.0;4.58
randwrite;32;0;2;45;38.1;4.62
randwrite;32;0;2;46;39.3;4.56
randwrite;32;0;2;47;38.8;4.55
randwrite;32;0;2;48;39.8;4.55
randwrite;32;0;2;49;39.6;4.56
randwrite;32;0;2;50;36.7;4.58
randwrite;32;0;2;51;36.7;4.56
randwrite;32;0;2;52;36.0;4.55
randwrite;32;0;2;53;36.5;4.56
randwrite;32;0;2;54;37.0;4.56
randwrite;32;0;2;55;36.6;4.54
randwrite;32;0;2;56;38.0;4.54
randwrite;32;0;2;57;37.2;4.54
randwrite;32;0;2;58;37.6;4.54
randwrite;32;0;2;59;36.6;4.57
randwrite;32;0;3;0;36.0;4.49
randwrite;32;0;3;1;36.1;4.11
randwrite;32;0;3;2;34.9;4.18
randwrite;32;0;3;3;35.3;4.14
randwrite;32;0;3;4;35.5;4.05
randwrite;32;0;3;5;36.2;4.12
randwrite;32;0;3;6;35.5;4.19
randwrite;32;0;3;7;35.8;4.25
randwrite;32;0;3;8;36.0;4.18
randwrite;32;0;3;9;36.1;4.21
randwrite;32;0;3;10;37.2;4.21
randwrite;32;0;3;11;35.8;4.18
randwrite;32;0;3;12;36.0;4.15
randwrite;32;0;3;13;35.7;4.11
randwrite;32;0;3;14;35.4;4.09
randwrite;32;0;3;15;35.9;4.09
randwrite;32;0;3;16;36.4;4.18
randwrite;32;0;3;17;34.8;4.2
randwrite;32;0;3;18;37.0;4.24
randwrite;32;0;3;19;36.2;4.34
randwrite;32;0;3;20;35.6;4.27
randwrite;32;0;3;21;35.8;4.26
randwrite;32;0;3;22;35.8;4.26
randwrite;32;0;3;23;36.3;4.13
randwrite;32;0;3;24;35.8;4.12
randwrite;32;0;3;25;36.5;4.08
randwrite;32;0;3;26;35.5;4.2
randwrite;32;0;3;27;36.3;4.17
randwrite;32;0;3;28;35.8;4.09
randwrite;32;0;3;29;35.6;4.13
randwrite;32;0;3;30;37.1;4.18
randwrite;32;0;3;31;38.1;4.17
randwrite;32;0;3;32;37.6;4.27
randwrite;32;0;3;33;36.7;4.27
randwrite;32;0;3;34;36.1;4.2
randwrite;32;0;3;35;35.5;4.17
randwrite;32;0;3;36;36.3;4.24
randwrite;32;0;3;37;35.4;4.22
randwrite;32;0;3;38;35.6;4.14
randwrite;32;0;3;39;35.7;4.19
randwrite;32;0;3;40;35.8;4.18
randwrite;32;0;3;41;36.5;4.18
randwrite;32;0;3;42;35.4;4.16
randwrite;32;0;3;43;35.8;4.15
randwrite;32;0;3;44;36.3;4.06
randwrite;32;0;3;45;35.5;4.14
randwrite;32;0;3;46;36.6;4.11
randwrite;32;0;3;47;36.4;4.05
randwrite;32;0;3;48;35.8;4.12
randwrite;32;0;3;49;36.2;4.14
randwrite;32;0;3;50;37.2;4.14
randwrite;32;0;3;51;36.4;4.11
randwrite;32;0;3;52;36.7;4.16
randwrite;32;0;3;53;36.1;4.15
randwrite;32;0;3;54;36.7;4.14
randwrite;32;0;3;55;35.4;4.22
randwrite;32;0;3;56;35.8;4.1
randwrite;32;0;3;57;36.3;4.16
