equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
cubie;HDD2;randread;32;1;10;146046976.0;2433024.0;60.008
cubie;HDD2;randread;32;1;1;145686528.0;2427904.0;60.005
cubie;HDD2;randread;32;1;2;146046976.0;2433024.0;60.005
cubie;HDD2;randread;32;1;3;146014208.0;2433024.0;60.01
cubie;HDD2;randread;32;1;4;146046976.0;2434048.0;60.001
cubie;HDD2;randread;32;1;5;145752064.0;2427904.0;60.017
cubie;HDD2;randread;32;1;6;145883136.0;2429952.0;60.014
cubie;HDD2;randread;32;1;7;145489920.0;2423808.0;60.009
cubie;HDD2;randread;32;1;8;146014208.0;2432000.0;60.014
cubie;HDD2;randread;32;1;9;145784832.0;2428928.0;60.011
cubie;HDD2;randread;32;0;10;149782528.0;2495488.0;60.013
cubie;HDD2;randread;32;0;1;149585920.0;2492416.0;60.004
cubie;HDD2;randread;32;0;2;149618688.0;2492416.0;60.007
cubie;HDD2;randread;32;0;3;149553152.0;2491392.0;60.009
cubie;HDD2;randread;32;0;4;149520384.0;2491392.0;60.011
cubie;HDD2;randread;32;0;5;149651456.0;2493440.0;60.001
cubie;HDD2;randread;32;0;6;149454848.0;2489344.0;60.017
cubie;HDD2;randread;32;0;7;149848064.0;2496512.0;60.014
cubie;HDD2;randread;32;0;8;149716992.0;2494464.0;60.014
cubie;HDD2;randread;32;0;9;149520384.0;2491392.0;60.007
cubie;HDD2;randread;4096;1;10;1937768448.0;32240640.0;60.103
cubie;HDD2;randread;4096;1;1;1937768448.0;32263168.0;60.061
cubie;HDD2;randread;4096;1;2;1937768448.0;32263168.0;60.06
cubie;HDD2;randread;4096;1;3;1937768448.0;32268288.0;60.05
cubie;HDD2;randread;4096;1;4;1937768448.0;32283648.0;60.022
cubie;HDD2;randread;4096;1;5;1933574144.0;32221184.0;60.009
cubie;HDD2;randread;4096;1;6;1937768448.0;32282624.0;60.025
cubie;HDD2;randread;4096;1;7;1937768448.0;32274432.0;60.04
cubie;HDD2;randread;4096;1;8;1937768448.0;32254976.0;60.076
cubie;HDD2;randread;4096;1;9;1937768448.0;32253952.0;60.078
cubie;HDD2;randread;4096;0;10;1983905792.0;33031168.0;60.061
cubie;HDD2;randread;4096;0;1;1983905792.0;33050624.0;60.025
cubie;HDD2;randread;4096;0;2;1983905792.0;33012736.0;60.094
cubie;HDD2;randread;4096;0;3;1983905792.0;33028096.0;60.067
cubie;HDD2;randread;4096;0;4;1983905792.0;33045504.0;60.034
cubie;HDD2;randread;4096;0;5;1988100096.0;33086464.0;60.087
cubie;HDD2;randread;4096;0;6;1988100096.0;33072128.0;60.113
cubie;HDD2;randread;4096;0;7;1983905792.0;33058816.0;60.01
cubie;HDD2;randread;4096;0;8;1983905792.0;33011712.0;60.097
cubie;HDD2;randread;4096;0;9;1988100096.0;33095680.0;60.071
cubie;HDD2;randwrite;32;1;10;402128896.0;6680576.0;60.19
cubie;HDD2;randwrite;32;1;1;401473536.0;6678528.0;60.107
cubie;HDD2;randwrite;32;1;2;401178624.0;6667264.0;60.17
cubie;HDD2;randwrite;32;1;3;402849792.0;6670336.0;60.393
cubie;HDD2;randwrite;32;1;4;399048704.0;6645760.0;60.037
cubie;HDD2;randwrite;32;1;5;400916480.0;6669312.0;60.105
cubie;HDD2;randwrite;32;1;6;400949248.0;6681600.0;60.001
cubie;HDD2;randwrite;32;1;7;400883712.0;6666240.0;60.135
cubie;HDD2;randwrite;32;1;8;401539072.0;6680576.0;60.099
cubie;HDD2;randwrite;32;1;9;402948096.0;6711296.0;60.036
cubie;HDD2;randwrite;32;0;10;212566016.0;3542016.0;60.002
cubie;HDD2;randwrite;32;0;1;212631552.0;3543040.0;60.006
cubie;HDD2;randwrite;32;0;2;212205568.0;3535872.0;60.003
cubie;HDD2;randwrite;32;0;3;212729856.0;3544064.0;60.007
cubie;HDD2;randwrite;32;0;4;212271104.0;3536896.0;60.008
cubie;HDD2;randwrite;32;0;5;212926464.0;3548160.0;60.006
cubie;HDD2;randwrite;32;0;6;213123072.0;3551232.0;60.005
cubie;HDD2;randwrite;32;0;7;207224832.0;3452928.0;60.004
cubie;HDD2;randwrite;32;0;8;212992000.0;3549184.0;60.007
cubie;HDD2;randwrite;32;0;9;212828160.0;3546112.0;60.005
cubie;HDD2;randwrite;4096;1;10;2004877312.0;33325056.0;60.161
cubie;HDD2;randwrite;4096;1;1;1983905792.0;33063936.0;60.002
cubie;HDD2;randwrite;4096;1;2;1996488704.0;33261568.0;60.023
cubie;HDD2;randwrite;4096;1;3;2009071616.0;33453056.0;60.055
cubie;HDD2;randwrite;4096;1;4;2025848832.0;33652736.0;60.198
cubie;HDD2;randwrite;4096;1;5;1992294400.0;33170432.0;60.061
cubie;HDD2;randwrite;4096;1;6;1988100096.0;33131520.0;60.006
cubie;HDD2;randwrite;4096;1;7;2013265920.0;33434624.0;60.215
cubie;HDD2;randwrite;4096;1;8;2004877312.0;33292288.0;60.219
cubie;HDD2;randwrite;4096;1;9;1975517184.0;32917504.0;60.013
cubie;HDD2;randwrite;4096;0;10;1983905792.0;33045504.0;60.035
cubie;HDD2;randwrite;4096;0;1;1979711488.0;32972800.0;60.04
cubie;HDD2;randwrite;4096;0;2;1673527296.0;27853824.0;60.081
cubie;HDD2;randwrite;4096;0;3;1979711488.0;32956416.0;60.07
cubie;HDD2;randwrite;4096;0;4;1958739968.0;32641024.0;60.008
cubie;HDD2;randwrite;4096;0;5;1988100096.0;33119232.0;60.028
cubie;HDD2;randwrite;4096;0;6;1992294400.0;33199104.0;60.009
cubie;HDD2;randwrite;4096;0;7;1971322880.0;32783360.0;60.13
cubie;HDD2;randwrite;4096;0;8;1971322880.0;32842752.0;60.022
cubie;HDD2;randwrite;4096;0;9;1988100096.0;33107968.0;60.048
cubie;HDD2;read;32;1;10;2415185100.8;40252416.0;60.0
cubie;HDD2;read;32;1;1;2416233676.8;40267776.0;60.002
cubie;HDD2;read;32;1;2;2415709388.8;40256512.0;60.005
cubie;HDD2;read;32;1;3;2414975385.6;40261632.0;60.004
cubie;HDD2;read;32;1;4;2413297664.0;40217600.0;60.004
cubie;HDD2;read;32;1;5;2412249088.0;40201216.0;60.003
cubie;HDD2;read;32;1;6;2416757964.8;40275968.0;60.001
cubie;HDD2;read;32;1;7;2417701683.2;40283136.0;60.0
cubie;HDD2;read;32;1;8;2415185100.8;40249344.0;60.002
cubie;HDD2;read;32;1;9;2414975385.6;40263680.0;60.001
cubie;HDD2;read;32;0;10;2502636339.2;41708544.0;60.001
cubie;HDD2;read;32;0;1;2502216908.8;41701376.0;60.001
cubie;HDD2;read;32;0;2;2501168332.8;41683968.0;60.001
cubie;HDD2;read;32;0;3;2502321766.4;41697280.0;60.001
cubie;HDD2;read;32;0;4;2502741196.8;41710592.0;60.001
cubie;HDD2;read;32;0;5;2501797478.4;41694208.0;60.001
cubie;HDD2;read;32;0;6;2499176038.4;41651200.0;60.001
cubie;HDD2;read;32;0;7;2503475200.0;41722880.0;60.001
cubie;HDD2;read;32;0;8;2502636339.2;41708544.0;60.001
cubie;HDD2;read;32;0;9;2502007193.6;41698304.0;60.001
cubie;HDD2;read;4096;1;10;2415919104.0;40258560.0;60.01
cubie;HDD2;read;4096;1;1;2415919104.0;40254464.0;60.015
cubie;HDD2;read;4096;1;2;2415919104.0;40254464.0;60.016
cubie;HDD2;read;4096;1;3;2420113408.0;40305664.0;60.043
cubie;HDD2;read;4096;1;4;2415919104.0;40229888.0;60.052
cubie;HDD2;read;4096;1;5;2420113408.0;40284160.0;60.075
cubie;HDD2;read;4096;1;6;2420113408.0;40271872.0;60.094
cubie;HDD2;read;4096;1;7;2420113408.0;40286208.0;60.073
cubie;HDD2;read;4096;1;8;2415919104.0;40230912.0;60.051
cubie;HDD2;read;4096;1;9;2415919104.0;40224768.0;60.06
cubie;HDD2;read;4096;0;10;2147483648.0;35741696.0;60.082
cubie;HDD2;read;4096;0;1;2151677952.0;35796992.0;60.107
cubie;HDD2;read;4096;0;2;2151677952.0;35795968.0;60.109
cubie;HDD2;read;4096;0;3;2147483648.0;35747840.0;60.072
cubie;HDD2;read;4096;0;4;2147483648.0;35765248.0;60.043
cubie;HDD2;read;4096;0;5;2147483648.0;35786752.0;60.007
cubie;HDD2;read;4096;0;6;2151677952.0;35834880.0;60.043
cubie;HDD2;read;4096;0;7;2147483648.0;35760128.0;60.052
cubie;HDD2;read;4096;0;8;2147483648.0;35755008.0;60.061
cubie;HDD2;read;4096;0;9;2151677952.0;35791872.0;60.116
cubie;HDD2;write;32;1;10;2390648422.4;39768064.0;60.112
cubie;HDD2;write;32;1;1;2342938214.4;38921216.0;60.187
cubie;HDD2;write;32;1;2;2336961331.2;38834176.0;60.176
cubie;HDD2;write;32;1;3;2340841062.4;38946816.0;60.102
cubie;HDD2;write;32;1;4;2385720115.2;39759872.0;60.001
cubie;HDD2;write;32;1;5;2386663833.6;39791616.0;60.001
cubie;HDD2;write;32;1;6;2393374720.0;39772160.0;60.175
cubie;HDD2;write;32;1;7;2384042393.6;39731200.0;60.002
cubie;HDD2;write;32;1;8;2384671539.2;39652352.0;60.139
cubie;HDD2;write;32;1;9;2381840384.0;39676928.0;60.03
cubie;HDD2;write;32;0;10;1360317644.8;22669312.0;60.001
cubie;HDD2;write;32;0;1;1388838912.0;23145472.0;60.002
cubie;HDD2;write;32;0;2;1359898214.4;22663168.0;60.002
cubie;HDD2;write;32;0;3;1388734054.4;23143424.0;60.001
cubie;HDD2;write;32;0;4;1391670067.2;23192576.0;60.001
cubie;HDD2;write;32;0;5;1391355494.4;23187456.0;60.001
cubie;HDD2;write;32;0;6;1380030873.6;23013376.0;60.002
cubie;HDD2;write;32;0;7;1391879782.4;23195648.0;60.001
cubie;HDD2;write;32;0;8;1393242931.2;23217152.0;60.002
cubie;HDD2;write;32;0;9;1388838912.0;23145472.0;60.001
cubie;HDD2;write;4096;1;10;2365587456.0;39359488.0;60.101
cubie;HDD2;write;4096;1;1;2365587456.0;39407616.0;60.028
cubie;HDD2;write;4096;1;2;2361393152.0;39334912.0;60.032
cubie;HDD2;write;4096;1;3;2319450112.0;38651904.0;60.008
cubie;HDD2;write;4096;1;4;2365587456.0;39343104.0;60.126
cubie;HDD2;write;4096;1;5;2369781760.0;39492608.0;60.005
cubie;HDD2;write;4096;1;6;2353004544.0;39177216.0;60.059
cubie;HDD2;write;4096;1;7;2361393152.0;39243776.0;60.172
cubie;HDD2;write;4096;1;8;2369781760.0;39481344.0;60.022
cubie;HDD2;write;4096;1;9;2365587456.0;39317504.0;60.165
cubie;HDD2;write;4096;0;10;2084569088.0;34735104.0;60.013
cubie;HDD2;write;4096;0;1;2092957696.0;34830336.0;60.09
cubie;HDD2;write;4096;0;2;2139095040.0;35590144.0;60.103
cubie;HDD2;write;4096;0;3;2134900736.0;35577856.0;60.005
cubie;HDD2;write;4096;0;4;2130706432.0;35470336.0;60.069
cubie;HDD2;write;4096;0;5;2088763392.0;34791424.0;60.036
cubie;HDD2;write;4096;0;6;2092957696.0;34854912.0;60.046
cubie;HDD2;write;4096;0;7;2134900736.0;35574784.0;60.011
cubie;HDD2;write;4096;0;8;2134900736.0;35563520.0;60.03
cubie;HDD2;write;4096;0;9;2139095040.0;35608576.0;60.071
